2026-02-01 10:40:33 | INFO | fxbot | OPEN trade_id=133 pair=USD/JPY side=SHORT p_up=0.186 entry=152.68649 sl=152.87367 tp=152.46187 units=1202.48 equity=11254.16
2026-02-01 10:40:33 | INFO | fxbot | CLOSE trade_id=133 pair=USD/JPY side=SHORT reason=TIME exit=152.56091 pnl=151.01 equity=11405.16
2026-02-01 10:40:33 | INFO | fxbot | OPEN trade_id=134 pair=EUR/USD side=SHORT p_up=0.161 entry=1.19952 sl=1.20118 tp=1.19752 units=137175.52 equity=11405.16
2026-02-01 10:40:33 | INFO | fxbot | OPEN trade_id=135 pair=EUR/USD side=SHORT p_up=0.000 entry=1.19999 sl=1.20142 tp=1.19827 units=159353.59 equity=11405.16
2026-02-01 10:40:33 | INFO | fxbot | OPEN trade_id=136 pair=USD/JPY side=SHORT p_up=0.231 entry=152.55595 sl=152.75755 tp=152.31402 units=1131.44 equity=11405.16
2026-02-01 10:40:34 | INFO | fxbot | OPEN trade_id=137 pair=USD/JPY side=SHORT p_up=0.190 entry=152.57128 sl=152.77441 tp=152.32753 units=1122.97 equity=11405.16
2026-02-01 10:40:34 | INFO | fxbot | CLOSE trade_id=134 pair=EUR/USD side=SHORT reason=TIME exit=1.19942 pnl=13.72 equity=11418.88
2026-02-01 10:40:34 | INFO | fxbot | OPEN trade_id=138 pair=USD/JPY side=SHORT p_up=0.231 entry=152.57128 sl=152.76785 tp=152.33540 units=1161.83 equity=11418.88
2026-02-01 10:40:34 | INFO | fxbot | CLOSE trade_id=135 pair=EUR/USD side=SHORT reason=TP exit=1.19827 pnl=273.72 equity=11692.61
2026-02-01 10:40:34 | INFO | fxbot | CLOSE trade_id=136 pair=USD/JPY side=SHORT reason=SL exit=152.75755 pnl=-228.10 equity=11464.50
2026-02-01 10:40:34 | INFO | fxbot | CLOSE trade_id=137 pair=USD/JPY side=SHORT reason=SL exit=152.77441 pnl=-228.10 equity=11236.40
2026-02-01 10:40:34 | INFO | fxbot | CLOSE trade_id=138 pair=USD/JPY side=SHORT reason=SL exit=152.76785 pnl=-228.38 equity=11008.02
2026-02-01 10:40:34 | INFO | fxbot | New day rollover 2026-01-28 -> 2026-01-29 (reset daily limits)
2026-02-01 10:40:35 | INFO | fxbot | OPEN trade_id=139 pair=EUR/USD side=SHORT p_up=0.231 entry=1.19560 sl=1.19787 tp=1.19288 units=97017.50 equity=11008.02
2026-02-01 10:40:35 | INFO | fxbot | OPEN trade_id=140 pair=EUR/USD side=SHORT p_up=0.231 entry=1.19560 sl=1.19790 tp=1.19283 units=95529.09 equity=11008.02
2026-02-01 10:40:35 | INFO | fxbot | OPEN trade_id=141 pair=USD/JPY side=LONG p_up=0.600 entry=153.31516 sl=152.92879 tp=153.77880 units=569.82 equity=11008.02
2026-02-01 10:40:35 | INFO | fxbot | CLOSE trade_id=139 pair=EUR/USD side=SHORT reason=TIME exit=1.19401 pnl=154.26 equity=11162.28
2026-02-01 10:40:35 | INFO | fxbot | CLOSE trade_id=140 pair=EUR/USD side=SHORT reason=TIME exit=1.19401 pnl=151.89 equity=11314.17
2026-02-01 10:40:35 | INFO | fxbot | CLOSE trade_id=141 pair=USD/JPY side=LONG reason=TIME exit=153.64264 pnl=186.61 equity=11500.78
2026-02-01 10:40:35 | INFO | fxbot | OPEN trade_id=142 pair=USD/JPY side=LONG p_up=0.600 entry=153.49186 sl=153.25384 tp=153.77749 units=966.35 equity=11500.78
2026-02-01 10:40:35 | INFO | fxbot | OPEN trade_id=143 pair=EUR/USD side=SHORT p_up=0.219 entry=1.19407 sl=1.19587 tp=1.19190 units=127482.87 equity=11500.78
2026-02-01 10:40:35 | INFO | fxbot | OPEN trade_id=144 pair=USD/JPY side=LONG p_up=1.000 entry=153.49186 sl=153.23528 tp=153.79975 units=896.48 equity=11500.78
2026-02-01 10:40:36 | INFO | fxbot | CLOSE trade_id=142 pair=USD/JPY side=LONG reason=TIME exit=153.41623 pnl=-73.09 equity=11427.69
2026-02-01 10:40:36 | INFO | fxbot | CLOSE trade_id=143 pair=EUR/USD side=SHORT reason=TIME exit=1.19439 pnl=-40.79 equity=11386.90
2026-02-01 10:40:36 | INFO | fxbot | CLOSE trade_id=144 pair=USD/JPY side=LONG reason=TIME exit=153.41623 pnl=-67.80 equity=11319.10
2026-02-01 10:40:36 | INFO | fxbot | OPEN trade_id=145 pair=EUR/USD side=SHORT p_up=0.231 entry=1.19482 sl=1.19663 tp=1.19265 units=125097.56 equity=11319.10
2026-02-01 10:40:36 | INFO | fxbot | CLOSE trade_id=145 pair=EUR/USD side=SHORT reason=TIME exit=1.19502 pnl=-25.02 equity=11294.08
2026-02-01 10:40:38 | INFO | fxbot | OPEN trade_id=146 pair=EUR/USD side=SHORT p_up=0.231 entry=1.19801 sl=1.19893 tp=1.19690 units=244573.96 equity=11294.08
2026-02-01 10:40:38 | INFO | fxbot | CLOSE trade_id=146 pair=EUR/USD side=SHORT reason=TP exit=1.19690 pnl=271.06 equity=11565.13
2026-02-01 10:40:38 | INFO | fxbot | New day rollover 2026-01-29 -> 2026-01-30 (reset daily limits)
2026-02-01 10:40:39 | INFO | fxbot | OPEN trade_id=147 pair=EUR/USD side=SHORT p_up=0.231 entry=1.19575 sl=1.19716 tp=1.19406 units=163795.52 equity=11565.13
2026-02-01 10:40:39 | INFO | fxbot | CLOSE trade_id=147 pair=EUR/USD side=SHORT reason=TIME exit=1.19549 pnl=42.59 equity=11607.72
2026-02-01 10:40:41 | INFO | fxbot | OPEN trade_id=148 pair=EUR/USD side=SHORT p_up=0.165 entry=1.19325 sl=1.19437 tp=1.19191 units=207148.62 equity=11607.72
2026-02-01 10:40:42 | INFO | fxbot | CLOSE trade_id=148 pair=EUR/USD side=SHORT reason=TP exit=1.19191 pnl=278.59 equity=11886.31
2026-02-01 10:40:42 | INFO | fxbot | OPEN trade_id=149 pair=EUR/USD side=SHORT p_up=0.231 entry=1.19140 sl=1.19261 tp=1.18994 units=196005.05 equity=11886.31
2026-02-01 10:40:42 | INFO | fxbot | CLOSE trade_id=149 pair=EUR/USD side=SHORT reason=TIME exit=1.19169 pnl=-56.84 equity=11829.46
2026-02-01 10:40:43 | INFO | fxbot | New day rollover 2026-01-30 -> 2026-01-31 (reset daily limits)
2026-02-01 10:40:43 | INFO | fxbot | OPEN trade_id=150 pair=EUR/USD side=SHORT p_up=0.231 entry=1.19210 sl=1.19346 tp=1.19047 units=174558.64 equity=11829.46
2026-02-01 10:40:43 | INFO | fxbot | OPEN trade_id=151 pair=EUR/USD side=SHORT p_up=0.067 entry=1.19210 sl=1.19342 tp=1.19051 units=178943.82 equity=11829.46
2026-02-01 10:40:43 | INFO | fxbot | CLOSE trade_id=150 pair=EUR/USD side=SHORT reason=TP exit=1.19047 pnl=283.91 equity=12113.37
2026-02-01 10:40:43 | INFO | fxbot | CLOSE trade_id=151 pair=EUR/USD side=SHORT reason=TP exit=1.19051 pnl=283.91 equity=12397.28
2026-02-01 10:40:43 | INFO | fxbot | OPEN trade_id=152 pair=USD/JPY side=LONG p_up=0.600 entry=154.23182 sl=154.00464 tp=154.50443 units=1091.43 equity=12397.28
2026-02-01 10:40:43 | INFO | fxbot | CLOSE trade_id=152 pair=USD/JPY side=LONG reason=TIME exit=154.34659 pnl=125.26 equity=12522.54
2026-02-01 10:40:47 | INFO | fxbot | New day rollover 2026-01-31 -> 2026-02-01 (reset daily limits)
2026-02-01 10:40:47 | INFO | fxbot | OPEN trade_id=153 pair=USD/JPY side=SHORT p_up=0.400 entry=154.77448 sl=154.79174 tp=154.75377 units=14509.88 equity=12522.54
2026-02-01 10:40:47 | INFO | fxbot | CLOSE trade_id=153 pair=USD/JPY side=SHORT reason=TP exit=154.75377 pnl=300.54 equity=12823.08
2026-02-01 10:40:48 | INFO | fxbot | OPEN trade_id=154 pair=USD/JPY side=SHORT p_up=0.231 entry=154.75344 sl=154.77135 tp=154.73194 units=14316.90 equity=12823.08
2026-02-01 10:40:48 | INFO | fxbot | OPEN trade_id=155 pair=USD/JPY side=SHORT p_up=0.400 entry=154.75344 sl=154.77145 tp=154.73183 units=14242.78 equity=12823.08
2026-02-01 10:40:48 | INFO | fxbot | CLOSE trade_id=154 pair=USD/JPY side=SHORT reason=TIME exit=154.73456 pnl=270.30 equity=13093.39
